y,z,b
-62.342,-118.826,-107254
-62.37,-117.066,-107256
-62.398,-115.464,-107258
-62.426,-114.142,-107260
-62.453,-112.925,-107262
-62.481,-111.793,-107264
-62.509,-110.758,-107266
-62.537,-109.842,-107268
-62.565,-109.067,-107270
-62.592,-108.409,-107272
-62.62,-107.834,-107274
-62.648,-107.42,-107276
-62.676,-107.085,-107278
-62.703,-106.84,-107280
-62.731,-107.084,-107282
-62.759,-107.418,-107284
-62.787,-107.83,-107286
-62.815,-108.405,-107288
-62.842,-109.061,-107290
-62.87,-109.831,-107292
-62.898,-110.743,-107294
-62.926,-111.778,-107296
-62.953,-112.912,-107298
-62.981,-114.126,-107300
-63.009,-115.451,-107302
-63.037,-117.056,-107304
-63.065,-118.82,-107306
-63.092,-120.685,-107308
-63.12,-122.792,-107310
-63.148,-124.977,-107312
-63.176,-127.228,-107314
-63.203,-129.682,-107316
-63.231,-132.209,-107318
-63.259,-134.775,-107320
-63.287,-137.394,-107322
-63.315,-139.994,-107324
-63.342,-142.522,-107326
-63.37,-144.923,-107328
-63.398,-147.132,-107330
-63.426,-149.136,-107332
-63.453,-150.912,-107334
-63.481,-152.444,-107336
-63.509,-153.703,-107338
-63.537,-154.628,-107340
-63.565,-155.138,-107342
-63.592,-155.389,-107344
-63.62,-155.394,-107346
-63.648,-155.164,-107348
-63.676,-154.798,-107350
-63.703,-154.301,-107352
-63.731,-153.548,-107354
-63.759,-152.627,-107356
-63.787,-151.617,-107358
-63.815,-150.462,-107360
-63.842,-149.206,-107362
-63.87,-147.934,-107364
-63.898,-146.802,-107366
-63.926,-145.891,-107368
-63.953,-145.155,-107370
-63.981,-144.494,-107372
-64.009,-143.73,-107374
-64.037,-142.868,-107376
-64.065,-142.224,-107378
-64.092,-141.986,-107380
-64.12,-142.159,-107382
-64.148,-142.679,-107384
-64.176,-143.428,-107386
-64.203,-144.307,-107388
-64.231,-145.185,-107390
-64.259,-146.031,-107392
-64.287,-146.833,-107394
-64.315,-147.555,-107396
-64.342,-148.196,-107398
-64.37,-148.769,-107400
-64.398,-149.276,-107402
-64.426,-149.704,-107404
-64.453,-150.034,-107406
-64.481,-150.222,-107408
-64.509,-150.353,-107410
-64.537,-150.448,-107412
-64.565,-150.46,-107414
-64.592,-150.387,-107416
-64.62,-150.238,-107418
-64.648,-150.038,-107420
-64.676,-149.793,-107422
-64.703,-149.489,-107424
-64.731,-149.053,-107426
-64.759,-148.478,-107428
-64.787,-147.764,-107430
-64.815,-146.922,-107432
-64.842,-145.952,-107434
-64.87,-144.843,-107436
-64.898,-143.576,-107438
-64.926,-142.161,-107440
-64.953,-140.606,-107442
-64.981,-138.883,-107444
-65.009,-136.944,-107446
-65.037,-134.759,-107448
-65.065,-132.267,-107450
-65.092,-129.321,-107452
-65.12,-125.907,-107454
-65.148,-122.011,-107456
-65.176,-117.516,-107458
-65.203,-112.37,-107460
-65.231,-106.448,-107462
-65.259,-100.378,-107464
-65.287,-96.498,-107466
-65.315,-96.743,-107468
-65.342,-97.202,-107470
-65.37,-97.758,-107472
-65.398,-98.482,-107474
